product_id,product_name,brand,category,subcategory,price,currency,discount_percent,discounted_price,rating,reviews_count,popularity_score,stock_status,date_added,description
P100000,iPhone 13,Apple,Electronics,Smartphone,65372,INR,57,28109.96,3.7,3050,11285.0,Limited Stock,2025-10-17,Apple iPhone 13 is a premium smartphone designed for performance and comfort.
P100001,Zara Shirt,Zara,Fashion,Shirt,2616,INR,55,1177.2,4.1,4699,19265.9,Out of Stock,2026-03-22,Zara Zara Shirt is a premium shirt designed for performance and comfort.
P100002,RayBan Sunglasses,RayBan,Accessories,Sunglasses,1305,INR,58,548.1,3.6,1700,6120.0,In Stock,2025-07-12,RayBan RayBan Sunglasses is a premium sunglasses designed for performance and comfort.
P100003,Puma Sneakers,Puma,Footwear,Sneakers,7471,INR,60,2988.4,3.5,860,3010.0,In Stock,2026-04-12,Puma Puma Sneakers is a premium sneakers designed for performance and comfort.
P100004,Nike T-shirt,Nike,Fashion,T-shirt,1305,INR,37,822.15,3.9,138,538.2,Limited Stock,2025-10-30,Nike Nike T-shirt is a premium t-shirt designed for performance and comfort.
P100005,iPhone 13,Apple,Electronics,Smartphone,74501,INR,44,41720.56,3.5,1559,5456.5,Limited Stock,2025-12-04,Apple iPhone 13 is a premium smartphone designed for performance and comfort.
P100006,Fossil Watch,Fossil,Accessories,Watch,2959,INR,47,1568.27,4.2,3007,12629.4,Limited Stock,2025-06-21,Fossil Fossil Watch is a premium watch designed for performance and comfort.
P100007,Reebok Shoes,Reebok,Footwear,Training Shoes,3990,INR,57,1715.7,3.8,49,186.2,In Stock,2024-06-20,Reebok Reebok Shoes is a premium training shoes designed for performance and comfort.
P100008,iPhone 13,Apple,Electronics,Smartphone,26067,INR,41,15379.53,4.0,3293,13172.0,Limited Stock,2025-07-19,Apple iPhone 13 is a premium smartphone designed for performance and comfort.
P100009,Wildcraft Backpack,Wildcraft,Accessories,Backpack,3246,INR,65,1136.1,4.9,2903,14224.7,In Stock,2025-04-26,Wildcraft Wildcraft Backpack is a premium backpack designed for performance and comfort.
P100010,Adidas Hoodie,Adidas,Fashion,Hoodie,2627,INR,34,1733.82,5.0,1831,9155.0,Limited Stock,2026-01-16,Adidas Adidas Hoodie is a premium hoodie designed for performance and comfort.
P100011,Wildcraft Backpack,Wildcraft,Accessories,Backpack,3135,INR,63,1159.95,3.7,3264,12076.8,Limited Stock,2024-09-26,Wildcraft Wildcraft Backpack is a premium backpack designed for performance and comfort.
P100012,OnePlus 11,OnePlus,Electronics,Smartphone,22133,INR,50,11066.5,4.1,1316,5395.6,In Stock,2025-08-25,OnePlus OnePlus 11 is a premium smartphone designed for performance and comfort.
P100013,Zara Shirt,Zara,Fashion,Shirt,3839,INR,45,2111.45,4.2,1331,5590.2,Limited Stock,2025-01-28,Zara Zara Shirt is a premium shirt designed for performance and comfort.
P100014,Wildcraft Backpack,Wildcraft,Accessories,Backpack,2326,INR,62,883.88,4.9,2264,11093.6,Out of Stock,2025-03-05,Wildcraft Wildcraft Backpack is a premium backpack designed for performance and comfort.
P100015,Reebok Shoes,Reebok,Footwear,Training Shoes,6484,INR,21,5122.36,3.5,1908,6678.0,Out of Stock,2024-05-01,Reebok Reebok Shoes is a premium training shoes designed for performance and comfort.
P100016,Sony Headphones,Sony,Electronics,Headphones,46792,INR,54,21524.32,4.2,4002,16808.4,Limited Stock,2024-07-22,Sony Sony Headphones is a premium headphones designed for performance and comfort.
P100017,Levi's Jeans,Levi's,Fashion,Jeans,2698,INR,21,2131.42,4.6,3783,17401.8,Limited Stock,2025-09-22,Levi's Levi's Jeans is a premium jeans designed for performance and comfort.
P100018,Reebok Shoes,Reebok,Footwear,Training Shoes,8710,INR,67,2874.3,4.6,3696,17001.6,Out of Stock,2026-04-10,Reebok Reebok Shoes is a premium training shoes designed for performance and comfort.
P100019,OnePlus 11,OnePlus,Electronics,Smartphone,46979,INR,31,32415.51,4.2,3372,14162.4,Out of Stock,2025-10-05,OnePlus OnePlus 11 is a premium smartphone designed for performance and comfort.
P100020,American Tourister Bag,American Tourister,Accessories,Travel Bag,904,INR,34,596.64,3.9,2892,11278.8,In Stock,2024-05-23,American Tourister American Tourister Bag is a premium travel bag designed for performance and comfort.
P100021,OnePlus 11,OnePlus,Electronics,Smartphone,26241,INR,34,17319.06,4.0,1719,6876.0,Limited Stock,2024-12-06,OnePlus OnePlus 11 is a premium smartphone designed for performance and comfort.
P100022,RayBan Sunglasses,RayBan,Accessories,Sunglasses,360,INR,37,226.8,4.4,466,2050.4,In Stock,2024-12-27,RayBan RayBan Sunglasses is a premium sunglasses designed for performance and comfort.
P100023,RayBan Sunglasses,RayBan,Accessories,Sunglasses,2216,INR,14,1905.76,3.6,863,3106.8,In Stock,2025-12-26,RayBan RayBan Sunglasses is a premium sunglasses designed for performance and comfort.
P100024,Nike T-shirt,Nike,Fashion,T-shirt,2845,INR,36,1820.8,3.8,4928,18726.4,In Stock,2025-03-23,Nike Nike T-shirt is a premium t-shirt designed for performance and comfort.
P100025,iPhone 13,Apple,Electronics,Smartphone,17120,INR,20,13696.0,3.3,467,1541.1,Limited Stock,2025-08-30,Apple iPhone 13 is a premium smartphone designed for performance and comfort.
